,sp_codes,sp_names,bacdive_code,tax_id,oxygen_fusion,oxygen_gold,merge_oxygen,habitat,temp_range_deduced,temp_def,temp_type_def,continent_def,habMix,oxySimpl,life_domain,clades
1690,hps,Helicobacter pylori Shi470,6102.0,512562,Aerobe,Aerobe,Aerobe,Human,mesophilic,37.0,growth,Australia and Oceania,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1691,hhp,Helicobacter pylori Shi112,6102.0,1163740,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1692,hhq,Helicobacter pylori Shi169,6102.0,1163741,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1693,hhr,Helicobacter pylori Shi417,6102.0,1163739,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1694,hpg,Helicobacter pylori G27,6102.0,563041,Aerobe,Aerobe,Aerobe,Human,mesophilic,37.0,growth,Australia and Oceania,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1695,hpp,Helicobacter pylori P12,6102.0,570508,Aerobe,Aerobe,Aerobe,Human,mesophilic,37.0,growth,Australia and Oceania,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1696,hpb,Helicobacter pylori B38,6102.0,592205,Aerobe,Aerobe,Aerobe,Human,mesophilic,37.0,growth,Australia and Oceania,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1697,hpl,Helicobacter pylori B8,6102.0,693745,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1698,hpc,Helicobacter pylori PeCan4,6102.0,765963,Aerobe,Aerobe,Aerobe,Human,mesophilic,37.0,growth,Australia and Oceania,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1699,hca,Helicobacter pylori PeCan18,6102.0,1163742,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1700,hpm,Helicobacter pylori SJM180,6102.0,765962,Aerobe,Aerobe,Aerobe,Human,mesophilic,37.0,growth,Australia and Oceania,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1701,hpe,Helicobacter pylori ELS37,6102.0,1055527,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1702,hpo,Helicobacter pylori 35A,6102.0,585535,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1703,hpi,Helicobacter pylori 908,6102.0,869727,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1704,hpq,Helicobacter pylori 2017,6102.0,985081,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1705,hpw,Helicobacter pylori 2018,6102.0,985080,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1706,hpu,Helicobacter pylori Cuz20,6102.0,765964,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1707,hef,Helicobacter pylori F16,6102.0,866344,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1708,hpf,Helicobacter pylori F30,6102.0,866345,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1709,heq,Helicobacter pylori F32,6102.0,102608,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1710,hex,Helicobacter pylori F57,6102.0,866346,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1711,hpt,Helicobacter pylori Sat464,6102.0,794851,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1712,hpz,Helicobacter pylori 52,6102.0,684950,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1713,hpv,Helicobacter pylori v225d,6102.0,637913,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1714,hpx,Helicobacter pylori 83,6102.0,585538,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1715,hen,Helicobacter pylori SNT49,6102.0,1055530,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1716,hph,Helicobacter pylori Lithuania75,6102.0,907237,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1717,heg,Helicobacter pylori Gambia94/24,6102.0,907240,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1718,hpn,Helicobacter pylori India7,6102.0,907238,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1719,hep,Helicobacter pylori Puno120,6102.0,1055528,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1720,heu,Helicobacter pylori Puno135,6102.0,1055529,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1721,hes,Helicobacter pylori SouthAfrica7,6102.0,907239,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1722,hpys,Helicobacter pylori SouthAfrica20,6102.0,1352356,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1723,hcn,Helicobacter pylori HUP-B14,6102.0,1163743,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1724,hpd,Helicobacter pylori 51,6102.0,290847,,Aerobe,Aerobe,,mesophilic,37.0,growth,Australia and Oceania,,Aerobe,Bacteria,delta/epsilon subdivisions
1725,hey,Helicobacter pylori XZ274,6102.0,1127122,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1726,her,Helicobacter pylori Rif1,6102.0,1234365,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1727,hei,Helicobacter pylori Rif2,6102.0,1234600,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1728,hpya,Helicobacter pylori Aklavik117,6102.0,1055531,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1729,hpyk,Helicobacter pylori Aklavik86,6102.0,1055532,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1730,hpyo,Helicobacter pylori OK113,6102.0,1248725,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1731,hpyl,Helicobacter pylori OK310,6102.0,1248726,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1732,hpyb,Helicobacter pylori oki102,6102.0,1382920,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1733,hpyc,Helicobacter pylori oki112,6102.0,1382921,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1734,hpyd,Helicobacter pylori oki128,6102.0,1382922,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1735,hpye,Helicobacter pylori oki154,6102.0,1382923,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1736,hpyf,Helicobacter pylori oki422,6102.0,1382924,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1737,hpyg,Helicobacter pylori oki673,6102.0,1382925,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1738,hpyh,Helicobacter pylori oki828,6102.0,1382926,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1739,hpyj,Helicobacter pylori oki898,6102.0,1382927,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1740,hpyr,Helicobacter pylori UM032,6102.0,1311573,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1741,hpyi,Helicobacter pylori UM037,6102.0,1321939,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1742,hpyu,Helicobacter pylori UM066,6102.0,1321940,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1743,hpym,Helicobacter pylori UM299,6102.0,1321938,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1744,hem,Helicobacter pylori UM298,6102.0,1321941,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1745,heb,Helicobacter pylori BM012A,6102.0,1407462,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1746,hez,Helicobacter pylori BM012S,6102.0,1407463,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1747,hhe,Helicobacter hepaticus,6105.0,235279,Aerobe,Aerobe,Aerobe,Host,mesophilic,37.0,growth,North America,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1748,hac,Helicobacter acinonychis,139045.0,382638,Aerobe,Aerobe,Aerobe,Host,mesophilic,37.0,growth,,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1749,hms,Helicobacter mustelae,137038.0,679897,Aerobe,Aerobe,Aerobe,Host,mesophilic,39.5,growth,,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1750,hfe,Helicobacter felis,138426.0,936155,Aerobe,Aerobe,Aerobe,Host,mesophilic,37.0,growth,Australia and Oceania,Symbiont,Aerobe,Bacteria,delta/epsilon subdivisions
1751,hbi,Helicobacter bizzozeronii,135500.0,1002804,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1752,hce,Helicobacter cetorum MIT 00-7128,154113.0,182217,,,,,mesophilic,37.0,growth,,,,Bacteria,delta/epsilon subdivisions
1753,hcm,Helicobacter cetorum MIT 99-5656,154113.0,1163745,,,,,mesophilic,37.0,growth,,,,Bacteria,delta/epsilon subdivisions
1754,hcp,Helicobacter cinaedi PAGU611,6098.0,1172562,,,,,mesophilic,37.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1755,hcb,Helicobacter cinaedi CCUG 18818 = ATCC BAA-847,6098.0,537971,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1756,hhm,Helicobacter heilmannii,6111.0,1216962,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1757,hty,Helicobacter typhlonius,135080.0,76936,,,,,mesophilic,37.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1758,hbl,Helicobacter bilis,135551.0,37372,,,,,mesophilic,37.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1759,had,Helicobacter apodemus,,135569,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1760,het,Helicobacter sp. MIT 01-6242,,222136,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1761,wsu,Wolinella succinogenes,6116.0,273121,Anaerobe,Anaerobe,Anaerobe,Host,mesophilic,37.0,growth,North America,Symbiont,Anaerobe,Bacteria,delta/epsilon subdivisions
1762,tdn,Sulfurimonas denitrificans,6113.0,326298,Anaerobe,Anaerobe,Anaerobe,Marine,psychrophilic,21.0,growth,Europe,Environment,Anaerobe,Bacteria,delta/epsilon subdivisions
1763,sua,Sulfurimonas autotrophica,6114.0,563040,Aerobe,Aerobe,Aerobe,Marine,psychrophilic,24.0,growth,Asia,Environment,Aerobe,Bacteria,delta/epsilon subdivisions
1764,sku,Sulfuricurvum kujiense,6112.0,709032,Anaerobe,Anaerobe,Anaerobe,,psychrophilic,25.0,optimum,Asia,,Anaerobe,Bacteria,delta/epsilon subdivisions
1765,sulr,Candidatus Sulfuricurvum sp. RIFRC-1,,1249480,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1766,cje,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,2121.0,192222,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,37.0,growth,Europe,Symbiont,,Bacteria,delta/epsilon subdivisions
1767,cjb,Campylobacter jejuni subsp. jejuni NCTC 11168-BN148,2121.0,1211776,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1768,cjj,Campylobacter jejuni subsp. jejuni 81-176,2121.0,354242,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,37.0,growth,Europe,Symbiont,,Bacteria,delta/epsilon subdivisions
1769,cju,Campylobacter jejuni subsp. jejuni 81116,2121.0,407148,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,37.0,growth,Europe,Symbiont,,Bacteria,delta/epsilon subdivisions
1770,cjn,Campylobacter jejuni subsp. jejuni ICDCCJ07001,2121.0,757425,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,37.0,growth,Europe,Symbiont,,Bacteria,delta/epsilon subdivisions
1771,cji,Campylobacter jejuni subsp. jejuni IA3902,2121.0,567106,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1772,cjm,Campylobacter jejuni subsp. jejuni M1,2121.0,645464,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1773,cjs,Campylobacter jejuni subsp. jejuni S3,2121.0,718271,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1774,cjp,Campylobacter jejuni subsp. jejuni PT14,2121.0,1201032,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1775,cjej,Campylobacter jejuni subsp. jejuni 00-2426,2121.0,1380767,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1776,cjeu,Campylobacter jejuni subsp. jejuni 00-2538,2121.0,1380768,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1777,cjen,Campylobacter jejuni subsp. jejuni 00-2544,2121.0,1383068,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1778,cjei,Campylobacter jejuni subsp. jejuni 00-2425,2121.0,1357994,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1779,cjer,Campylobacter jejuni subsp. jejuni R14,2121.0,1295010,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1780,cjv,Campylobacter jejuni subsp. jejuni MTVDSCj20,2121.0,32022,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1781,cjy,Campylobacter jejuni subsp. jejuni YH001,2121.0,32022,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1782,cjq,Campylobacter jejuni subsp. jejuni 35925B2,2121.0,32022,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1783,cjl,Campylobacter jejuni subsp. jejuni 00-1597,2121.0,32022,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1784,cjw,Campylobacter jejuni subsp. jejuni 00-6200,2121.0,32022,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1785,cjr,Campylobacter jejuni RM1221,,195099,Microaerophilic,Microaerophilic,Microaerophilic,Host,,,,,Symbiont,,Bacteria,delta/epsilon subdivisions
1786,cjd,Campylobacter jejuni subsp. doylei 269.97,132841.0,360109,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,37.0,growth,Australia and Oceania,Symbiont,,Bacteria,delta/epsilon subdivisions
1787,cjz,Campylobacter jejuni 32488,,1338035,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1788,cjx,Campylobacter jejuni 4031,,1347340,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1789,cff,Campylobacter fetus subsp. fetus 82-40,2120.0,360106,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,37.0,growth,,Symbiont,,Bacteria,delta/epsilon subdivisions
1790,cft,Campylobacter fetus subsp. fetus 04/554,2120.0,1240980,,,,,mesophilic,37.0,growth,,,,Bacteria,delta/epsilon subdivisions
1791,cfv,Campylobacter fetus subsp. venerealis cfvi03/293,2134.0,1273266,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1792,cfx,Campylobacter fetus subsp. venerealis 97/608,2134.0,1093099,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1793,cfz,Campylobacter fetus subsp. venerealis 84-112,2134.0,688354,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1794,camp,Campylobacter fetus subsp. testudinum 03-427,140076.0,1244528,,,,,mesophilic,37.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1795,cfp,Campylobacter fetus subsp. testudinum pet-3,140076.0,1507806,,,,,mesophilic,37.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1796,ccv,Campylobacter curvus,2128.0,360105,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,37.0,growth,,Symbiont,,Bacteria,delta/epsilon subdivisions
1797,cha,Campylobacter hominis,2138.0,360107,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,37.0,optimum,Europe,Symbiont,,Bacteria,delta/epsilon subdivisions
1798,cco,Campylobacter concisus 13826,2119.0,360104,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,37.0,growth,North America,Symbiont,,Bacteria,delta/epsilon subdivisions
1799,ccoc,Campylobacter concisus ATCC 33237,2119.0,199,,,,,mesophilic,37.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1800,cla,Campylobacter lari RM2100,,306263,Microaerophilic,Microaerophilic,Microaerophilic,Fresh water-Host-Soil,,,,,Mixed,,Bacteria,delta/epsilon subdivisions
1801,clr,Campylobacter lari RM16701,,1453989,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1802,clm,Campylobacter lari RM16712,,1453988,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1803,clq,Campylobacter lari CCUG 22395,,1388750,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1804,cln,Campylobacter lari NCTC 11845,,1388749,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1805,cll,Campylobacter lari subsp. concheus LMG 11760,154934.0,1031536,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1806,ccol,Campylobacter coli 76339,2103.0,1367491,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1807,ccc,Campylobacter coli CVM N29710,2103.0,1273173,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1808,ccq,Campylobacter coli 15-537360,2103.0,1358410,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1809,ccf,Campylobacter coli RM1875,2103.0,1183378,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1810,ccy,Campylobacter coli RM4661,2103.0,1183379,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1811,ccoi,Campylobacter coli RM5611,2103.0,1183380,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1812,ccof,Campylobacter coli FB1,2103.0,195,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1813,ccoo,Campylobacter coli OR12,2103.0,195,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1814,caj,Campylobacter iguaniorum,,1244531,,Microaerophilic,Microaerophilic,,,,,,,,Bacteria,delta/epsilon subdivisions
1815,cis,Campylobacter insulaenigrae,2132.0,1031564,,,,,mesophilic,36.333333333333336,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1816,cvo,Campylobacter volucris,2141.0,580033,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1817,cpel,Campylobacter peloridis,154935.0,1388753,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1818,camr,Campylobacter sp. RM16704,,1500960,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1819,csm,Campylobacter subantarcticus LMG 24374,133526.0,1388751,,,,,mesophilic,39.5,growth,,,,Bacteria,delta/epsilon subdivisions
1820,csf,Campylobacter subantarcticus LMG 24377,133526.0,1388752,,,,,mesophilic,39.5,growth,,,,Bacteria,delta/epsilon subdivisions
1821,cgra,Campylobacter gracilis,2133.0,824,,,,,mesophilic,37.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1822,cure,Campylobacter ureolyticus,2102.0,1032069,,,,,mesophilic,37.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1823,chyo,Campylobacter hyointestinalis,2137.0,1031746,,,,,mesophilic,38.25,growth,North America,,,Bacteria,delta/epsilon subdivisions
1824,chv,Campylobacter helveticus,137358.0,28898,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1825,cspf,Campylobacter sputorum,,1031920,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1826,cpin,Campylobacter pinnipediorum,,1874362,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1827,ccun,Campylobacter cuniculorum,2140.0,1121267,,Microaerophilic,Microaerophilic,,mesophilic,39.5,optimum,Europe,,,Bacteria,delta/epsilon subdivisions
1828,clx,Campylobacter lanienae,131136.0,1031753,,,,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1829,cavi,Campylobacter avium,133481.0,522484,,Microaerophilic,Microaerophilic,,mesophilic,37.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1830,chw,Campylobacter hepaticus,133218.0,1813019,,,,,mesophilic,37.0,growth,Australia and Oceania,,,Bacteria,delta/epsilon subdivisions
1831,camz,Campylobacter sp. RM12175,,1660076,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1832,camy,Campylobacter sp. RM6137,,1660073,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1833,abu,Arcobacter butzleri RM4018,2094.0,367737,Aerobe,Aerobe,Aerobe,Fresh water-Host-Marine,mesophilic,37.0,growth,North America,Mixed,Aerobe,Bacteria,delta/epsilon subdivisions
1834,abt,Arcobacter butzleri ED-1,2094.0,944546,,Aerobe,Aerobe,,mesophilic,37.0,growth,North America,,Aerobe,Bacteria,delta/epsilon subdivisions
1835,abl,Arcobacter butzleri 7h1h,2094.0,1036172,,Aerobe,Aerobe,,mesophilic,37.0,growth,North America,,Aerobe,Bacteria,delta/epsilon subdivisions
1836,ant,Arcobacter nitrofigilis,2092.0,572480,Microaerophilic,Microaerophilic,Microaerophilic,Host,mesophilic,29.0,growth,North America,Symbiont,,Bacteria,delta/epsilon subdivisions
1837,ask,Arcobacter skirrowii,2095.0,28200,,,,,mesophilic,34.0,growth,Europe,,,Bacteria,delta/epsilon subdivisions
1838,ahs,Arcobacter halophilus,2097.0,197482,,,,,psychrophilic,24.0,growth,North America,,,Bacteria,delta/epsilon subdivisions
1839,amyt,Arcobacter mytili,2098.0,1032238,,,,,mesophilic,30.0,optimum,Europe,,,Bacteria,delta/epsilon subdivisions
1841,arc,Arcobacter sp. L,,944547,,Aerobe,Aerobe,,,,,,,Aerobe,Bacteria,delta/epsilon subdivisions
1842,alp,Arcobacter sp. LPB0137,,1850254,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1843,sdl,Sulfurospirillum deleyianum,2223.0,525898,Microaerophilic,Microaerophilic,Microaerophilic,Other,mesophilic,29.0,growth,Europe,Mixed,,Bacteria,delta/epsilon subdivisions
1844,sba,Sulfurospirillum barnesii,2226.0,760154,,Microaerophilic,Microaerophilic,,mesophilic,33.0,optimum,North America,,,Bacteria,delta/epsilon subdivisions
1845,smul,Sulfurospirillum multivorans,2229.0,1150621,,Facultative,Facultative,,psychrophilic,25.0,growth,Europe,,Facultative,Bacteria,delta/epsilon subdivisions
1846,shal,Sulfurospirillum halorespirans,2228.0,1193502,,Anaerobe,Anaerobe,,mesophilic,30.0,growth,Europe,,Anaerobe,Bacteria,delta/epsilon subdivisions
1847,suls,Sulfurospirillum sp. SL2-1,,1986224,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1848,sulj,Sulfurospirillum sp. JPD-1,,220622,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1849,hyo,Hydrogenimonas sp. MAG,,2231112,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1850,nsa,Nitratifractor salsuginis,10423.0,749222,Anaerobe,Anaerobe,Anaerobe,Marine,mesophilic,37.0,optimum,Asia,Environment,Anaerobe,Bacteria,delta/epsilon subdivisions
1851,nis,Nitratiruptor sp. SB155-2,,387092,Anaerobe,Anaerobe,Anaerobe,Marine,,,,,Environment,Anaerobe,Bacteria,delta/epsilon subdivisions
1852,sun,Sulfurovum sp. NBC37-1,,387093,Anaerobe,Anaerobe,Anaerobe,Marine,,,,,Environment,Anaerobe,Bacteria,delta/epsilon subdivisions
1853,slh,Sulfurovum lithotrophicum,6117.0,206403,,,,,mesophilic,29.0,optimum,Asia,,,Bacteria,delta/epsilon subdivisions
1854,nam,Nautilia profundicola,10430.0,598659,Obligate anaerobe,Obligate anaerobe,Obligate anaerobe,Fresh water-Host,mesophilic,40.0,optimum,,Mixed,,Bacteria,delta/epsilon subdivisions
1855,nap,Nautilia sp. PV-1,,2579250,,,,,,,,,,,Bacteria,delta/epsilon subdivisions
1856,cmed,Caminibacter mediatlanticus,10428.0,391592,,Obligate anaerobe,Obligate anaerobe,,thermophilic,55.0,optimum,,,,Bacteria,delta/epsilon subdivisions
1857,cpaf,Cetia pacifica,130468.0,1424653,,Anaerobe,Anaerobe,,thermophilic,55.0,growth,,,Anaerobe,Bacteria,delta/epsilon subdivisions
1858,gsu,Geobacter sulfurreducens PCA,,243231,Anaerobe,Anaerobe,Anaerobe,Soil,,,,,Environment,Anaerobe,Bacteria,delta/epsilon subdivisions
1859,gsk,Geobacter sulfurreducens KN400,,663917,,Anaerobe,Anaerobe,,,,,,,Anaerobe,Bacteria,delta/epsilon subdivisions
1860,gme,Geobacter metallireducens,5791.0,269799,Anaerobe,Anaerobe,Anaerobe,Fresh water,mesophilic,30.0,growth,North America,Environment,Anaerobe,Bacteria,delta/epsilon subdivisions
1861,gur,Geobacter uraniireducens,134307.0,351605,Anaerobe,Anaerobe,Anaerobe,Soil,mesophilic,32.0,optimum,,Environment,Anaerobe,Bacteria,delta/epsilon subdivisions
